School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2020-21,Asian or Asian/Pacific Islander Students [Public School] 2020-21,Hispanic Students [Public School] 2020-21,Black or African American Students [Public School] 2020-21,White Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Total Race/Ethnicity [Public School] 2020-21,Two or More Races Students [Public School] 2020-21,School Level (SY 2017-18 onward) [Public School] 2020-21
ALBERT EINSTEIN CONTINUATION,California,0622710,062271002976,–,–,57,2,–,–,59,–,High
ALBERT EINSTEIN MIDDLE,California,0633840,063384005219,2,60,269,113,175,11,703,73,Middle
ALBERT F. BIELLA ELEMENTARY,California,0635810,063581009635,1,8,235,5,30,–,287,8,Elementary
ALBERT POWELL CONTINUATION,California,0643470,064347007028,0,8,58,3,24,0,100,7,High
ALBERT SCHWEITZER ELEMENTARY,California,0634620,063462005818,4,27,69,19,191,2,348,36,Elementary
ALBERTA MARTONE ELEMENTARY,California,0625130,062513009156,4,61,446,13,75,7,624,18,Elementary
ALBION ELEMENTARY,California,0624480,062448008196,–,–,1,–,11,–,16,4,Elementary
ALBION STREET ELEMENTARY,California,0622710,062271002803,–,18,146,1,2,–,170,3,Elementary
ALCOTT ELEMENTARY,California,0634320,063432005408,1,7,78,–,91,–,196,19,Elementary
ALCOTT ELEMENTARY,California,0633150,063315005130,3,10,379,55,197,–,662,18,Elementary
ALCOTT ELEMENTARY,California,0631320,063132004834,–,16,710,37,10,2,777,2,Elementary
ALDAMA ELEMENTARY,California,0622710,062271002804,1,12,355,3,46,–,422,5,Elementary
ALDER CREEK MIDDLE,California,0638770,063877011005,2,4,196,1,360,1,586,22,Middle
ALDER GROVE CHARTER SCHOOL 2,CALIFORNIA,0602072,060207211593,15,1,68,7,323,–,472,58,Other
ALDER MIDDLE,California,0613920,061392001585,3,8,921,49,39,3,1037,14,Middle
ALDERWOOD ELEMENTARY,California,0684500,068450007373,–,149,63,5,161,1,444,65,Elementary
ALESSANDRO,California,0625800,062580011025,0,0,28,18,7,0,56,3,Other
ALESSANDRO HIGH,California,0616920,061692002149,4,2,179,44,51,0,286,6,High
ALEXANDER FLEMING MIDDLE,California,0622710,062271003011,3,59,867,176,58,16,1208,29,Middle
ALEXANDER HAMILTON ELEMENTARY,California,0638010,063801011783,10,43,564,92,9,–,750,32,Elementary
ALEXANDER HAMILTON SENIOR HIGH,California,0622710,062271003064,5,112,1338,650,383,1,2533,44,High
ALEXANDER ROSE ELEMENTARY,California,0624500,062450003672,5,286,170,6,29,5,545,44,Elementary
ALEXANDER VALLEY ELEMENTARY,California,0601890,060189000064,–,–,39,2,74,–,115,–,Elementary
ALEXANDRIA AVENUE ELEMENTARY,California,0622710,062271002805,–,28,491,3,5,–,532,5,Elementary
ALFONSO B. PEREZ SPECIAL EDUCATION CENTER,California,0622710,062271007762,0,9,287,2,3,0,301,0,High
ALFRED B. NOBEL CHARTER MIDDLE,California,0622710,062271003225,5,441,957,107,618,7,2233,98,Middle
ALFRED S. MADRID MIDDLE,California,0626190,062619000454,–,30,493,1,–,–,524,–,Middle
ALHAMBRA HIGH,California,0600153,060015310929,5,959,1212,14,45,1,2301,65,High
ALHAMBRA SENIOR HIGH,California,0624030,062403003612,2,85,400,30,530,2,1208,159,High
ALIANZA CHARTER,California,0629490,062949004554,–,2,654,–,17,–,675,2,Elementary
ALICANTE AVENUE ELEMENTARY,California,0620850,062085002501,–,6,1025,4,6,–,1041,–,Elementary
ALICE BIRNEY ELEMENTARY,California,0600052,060005201475,23,72,129,16,83,11,381,47,Elementary
ALICE BIRNEY ELEMENTARY,California,0609390,060939007687,–,5,586,14,9,–,616,2,Elementary
