School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2020-21,Asian or Asian/Pacific Islander Students [Public School] 2020-21,Hispanic Students [Public School] 2020-21,Black or African American Students [Public School] 2020-21,White Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Total Race/Ethnicity [Public School] 2020-21,Two or More Races Students [Public School] 2020-21,School Level (SY 2017-18 onward) [Public School] 2020-21
SCRIPPS ELEMENTARY,California,0634320,063432010380,2,328,64,2,232,–,737,109,Elementary
SCRIPPS RANCH HIGH,California,0634320,063432002688,1,643,297,49,814,7,2050,239,High
SEA VIEW ELEMENTARY,California,0609070,060907000928,3,–,562,4,31,–,604,4,Elementary
SEARLES ELEMENTARY,California,0626910,062691004074,8,147,466,20,24,11,704,28,Elementary
SEASIDE CHILDREN?S CENTER,CALIFORNIA,0625530,062553014161,†,†,†,†,†,†,†,†,Not Reported
SEASIDE ELEMENTARY,California,0639420,063942006571,2,169,105,7,185,3,509,38,Elementary
SEASIDE HIGH,California,0625530,062553003843,3,90,780,56,57,33,1026,7,High
SEASIDE MIDDLE,California,0625530,062553003341,2,45,595,37,36,18,740,7,Middle
SEBASTIAN QUESTA ELEMENTARY,California,0601410,060141012551,8,453,116,49,125,–,825,74,Elementary
SEBASTOPOL INDEPENDENT CHARTER,CALIFORNIA,0602477,060247705457,2,10,33,3,228,–,281,5,Elementary
SECOND STREET ELEMENTARY,California,0622710,062271003338,–,–,223,6,8,–,237,–,Elementary
SEELEY ELEMENTARY,California,0636210,063621006180,3,1,355,10,21,2,393,1,Elementary
SEGERSTROM HIGH,California,0635310,063531010990,5,172,2270,9,32,7,2513,18,High
SEIAD ELEMENTARY,California,0636240,063624006181,0,1,2,0,6,0,9,0,Elementary
SELECT COMMUNITY DAY (SECONDARY),California,0622500,062250011291,0,0,0,0,0,0,0,0,High
SELLERS ELEMENTARY,California,0615270,061527001957,1,95,210,4,230,1,574,33,Elementary
SELMA AVENUE ELEMENTARY,California,0622710,062271003339,–,6,55,11,4,–,80,4,Elementary
SELMA HERNDON ELEMENTARY,California,0622170,062217008739,3,133,480,–,17,1,642,8,Elementary
SELMA HIGH,California,0636270,063627006188,1,79,1580,2,85,–,1750,3,High
SELMA INDEPENDENT,California,0636270,063627008476,–,–,129,–,12,–,141,–,High
SELMA OLINDER ELEMENTARY,California,0634590,063459005730,–,25,243,5,13,–,291,5,Elementary
SEM YETO CONTINUATION HIGH,California,0613360,061336001526,4,10,224,79,23,4,364,20,High
SEMITROPIC ELEMENTARY,California,0636330,063633006192,–,–,159,6,4,–,170,1,Elementary
SENECA ELEMENTARY,California,0625800,062580001009,1,14,260,96,56,6,456,23,Elementary
SENTINEL HIGH,California,0600063,060006312193,0,0,12,1,7,0,20,0,High
SEQUOIA ELEMENTARY,California,0632640,063264005081,3,12,49,7,286,2,393,34,Elementary
SEQUOIA ELEMENTARY,California,0623610,062361003587,3,18,613,18,98,2,779,27,Elementary
SEQUOIA ELEMENTARY,California,0635250,063525012753,1,301,329,26,40,–,712,15,Elementary
SEQUOIA ELEMENTARY,California,0626370,062637007319,–,138,92,14,241,–,594,109,Elementary
SEQUOIA ELEMENTARY,California,0642150,064215006914,1,112,218,6,95,4,461,25,Elementary
SEQUOIA ELEMENTARY,California,0633840,063384005281,1,33,139,46,93,7,378,59,Elementary
SEQUOIA ELEMENTARY,California,0634320,063432005548,0,23,94,8,35,1,185,24,Elementary
SEQUOIA ELEMENTARY,California,0628050,062805004314,3,44,109,43,126,5,438,108,Elementary
SEQUOIA ELEMENTARY,California,0621450,062145010810,1,19,502,1,72,–,596,1,Elementary
SEQUOIA ELEMENTARY CHARTER,California,0636360,063636006193,3,8,40,–,220,–,317,46,Elementary
SEQUOIA HIGH,California,0624660,062466011689,2,0,67,6,14,2,94,3,High
SEQUOIA HIGH,California,0636390,063639006198,5,111,1129,27,634,27,2019,86,High
SEQUOIA HIGH,California,0641160,064116006806,3,5,217,5,27,0,262,5,High
SEQUOIA MIDDLE,California,0626370,062637008916,–,167,354,23,273,6,910,87,Middle
SEQUOIA MIDDLE,California,0632040,063204004929,19,16,72,7,275,1,422,32,Middle
SEQUOIA MIDDLE,California,0603630,060363007099,0,2,679,63,27,1,785,13,Middle
SEQUOIA MIDDLE,California,0600064,060006411825,–,21,452,2,75,–,567,17,Middle
SEQUOIA MIDDLE,California,0614550,061455001765,1,103,743,44,9,1,907,6,Middle
SEQUOIA MIDDLE,California,0613920,061392001602,–,8,941,21,15,–,993,8,Middle
SEQUOIA MIDDLE,California,0609640,060964001023,1,63,340,12,454,3,919,46,Middle
SEQUOIA UNION ELEMENTARY,CALIFORNIA,0636360,063636014008,1,–,–,–,20,–,23,2,Middle
SERRA (JUNIPERO) ELEMENTARY,California,0634410,063441005636,1,23,191,14,21,3,292,39,Elementary
SERRA HIGH,California,0634320,063432005549,2,155,548,102,408,6,1401,180,High
SERRANIA AVENUE CHARTER FOR ENRICHED STUDIES,California,0622710,062271003343,–,68,120,60,287,4,593,54,Elementary
SERRANO ELEMENTARY,California,0625800,062580008909,–,7,374,32,15,–,436,8,Elementary
SERRANO ELEMENTARY,California,0628650,062865004451,–,66,194,6,199,2,510,43,Elementary
SERRANO HIGH,California,0636970,063697007876,8,38,1124,89,693,1,2073,120,High
SERRANO INTERMEDIATE,California,0633860,063386005314,4,135,411,14,388,1,1034,81,Middle
SERRANO MIDDLE,California,0634170,063417005386,4,16,597,86,41,3,766,19,Middle
SERRANO MIDDLE,California,0628470,062847004411,2,33,719,14,26,2,804,8,Middle
SESPE,CALIFORNIA,0613800,061380014162,†,†,†,†,†,†,†,†,Not Reported
SESSIONS ELEMENTARY,California,0634320,063432005550,–,12,96,9,238,1,420,64,Elementary
SEVEN HILLS INTERMEDIATE,California,0626820,062682004062,3,5,32,2,325,–,395,28,Middle
SEVENTH STREET ELEMENTARY,California,0622710,062271003344,1,13,262,9,42,–,340,13,Elementary
SEVENTY-FIFTH STREET ELEMENTARY,California,0622710,062271003345,–,3,826,123,33,1,989,3,Elementary
SEVENTY-FOURTH STREET ELEMENTARY,California,0622710,062271003346,1,–,169,225,2,1,406,8,Elementary
SEVICK SPECIAL EDUCATION,California,0606810,060681011752,–,–,2,–,7,–,9,–,Elementary
SHACKELFORD ELEMENTARY,California,0625130,062513003750,1,–,419,1,24,1,463,17,Elementary
SHADOW HILLS ELEMENTARY,California,0602100,060210009112,6,–,144,4,166,1,355,34,Elementary
SHADOW HILLS ELEMENTARY,California,0613920,061392009546,–,7,356,24,22,–,411,2,Elementary
SHADOW HILLS ENGINEERING AND DESIGN MAGNET ACADEMY,California,0629580,062958007529,3,16,736,143,28,2,936,8,Middle
SHADOW HILLS HIGH,California,0611110,061111012319,6,21,1614,29,247,–,1991,74,High
SHADOW RIDGE,California,0600014,060001407287,1,3,109,16,58,1,191,3,Other
SHAFFER ELEMENTARY,California,0636420,063642006200,7,3,52,5,114,2,187,4,Elementary
SHAFFER ELEMENTARY,California,0603420,060342000261,5,38,354,17,83,–,509,12,Elementary
SHAFTER HIGH,California,0619540,061954002352,2,19,1528,11,111,1,1682,10,High
SHANDIN HILLS MIDDLE,California,0634170,063417005387,4,13,641,106,44,2,824,14,Middle
SHANDON ELEMENTARY,California,0636450,063645006202,–,1,154,4,30,–,191,2,Elementary
SHANDON HIGH,California,0636450,063645006203,–,–,67,–,16,1,85,1,High
SHANNON ELEMENTARY,California,0632550,063255005059,2,98,154,36,27,3,349,29,Elementary
SHANNON RANCH ELEMENTARY,California,0641160,064116013106,2,27,365,6,162,2,635,71,Elementary
SHARON CHRISTA MCAULIFFE MIDDLE,California,0622590,062259007306,1,163,309,36,489,9,1099,92,Middle
SHARP AVENUE ELEMENTARY,California,0622710,062271003347,1,6,499,1,10,–,522,5,Elementary
SHASTA CHARTER ACADEMY,CALIFORNIA,0602306,060230608391,4,10,20,5,204,–,269,26,High
SHASTA COLLEGIATE ACADEMY,California,0636600,063660010676,14,17,57,6,284,6,404,20,High
SHASTA COUNTY INDEPENDENT STUDY,California,0691037,069103712305,3,2,23,1,54,1,127,43,High
SHASTA COUNTY JUVENILE COURT,California,0691037,069103702799,0,0,4,0,7,0,17,6,High
SHASTA COUNTY SPECIAL EDUCATION,California,0691037,069103707220,2,1,5,0,24,0,41,9,Other
SHASTA COUNTY STATE PRESCHOOLS,CALIFORNIA,0691037,069103714344,†,†,†,†,†,†,†,†,Not Reported
SHASTA ELEMENTARY,California,0636570,063657006208,4,–,15,2,86,2,114,5,Elementary
SHASTA ELEMENTARY,California,0608370,060837000829,10,26,142,4,389,–,620,49,Elementary
SHASTA ELEMENTARY,California,0623610,062361003588,3,34,542,12,120,4,743,28,Elementary
SHASTA HIGH,California,0636600,063660006213,52,55,193,14,924,3,1328,87,High
SHASTA LAKE,California,0614950,061495011804,39,17,73,3,445,3,630,50,Elementary
SHASTA MEADOWS ELEMENTARY,California,0612810,061281001444,12,21,75,11,186,–,356,51,Elementary
SHASTA VIEW ACADEMY,CALIFORNIA,0602506,060250614418,8,6,38,–,288,2,380,38,Other
SHASTA-TRINITY ROP,California,0600125,060012511468,0,0,0,0,0,0,0,0,High
SHEARER ELEMENTARY,California,0626640,062664004031,–,2,399,1,32,–,434,–,Elementary
SHELDON ELEMENTARY,California,0632550,063255005060,2,71,112,61,35,2,308,25,Elementary
SHELDON HIGH,California,0612330,061233007226,17,1003,669,326,367,39,2598,177,High
SHELL BEACH ELEMENTARY,California,0623080,062308003529,–,8,73,–,205,1,314,27,Elementary
SHELTER COVE,California,0614070,061407008734,0,0,1,0,2,0,3,0,Middle
SHELYN ELEMENTARY,California,0633750,063375005213,–,258,177,3,14,1,470,17,Elementary
SHENANDOAH STREET ELEMENTARY,California,0622710,062271003348,–,5,326,21,5,–,359,2,Elementary
SHEPPARD ELEMENTARY,California,0633510,063351005177,2,3,507,4,10,–,531,5,Elementary
SHERIDAN ELEMENTARY,California,0642140,064214006899,–,–,23,–,29,–,53,1,Elementary
SHERIDAN ELEMENTARY,California,0619700,061970002376,–,2,455,1,6,–,466,2,Elementary
SHERIDAN ELEMENTARY,California,0634410,063441005667,1,69,56,37,10,2,211,36,Elementary
SHERIDAN STREET ELEMENTARY,California,0622710,062271003349,2,1,629,3,23,–,659,1,Elementary
SHERIDAN WAY ELEMENTARY,California,0640980,064098006767,–,–,387,–,14,–,405,4,Elementary
SHERMAN ELEMENTARY,California,0634410,063441005668,1,73,62,30,103,–,347,78,Elementary
SHERMAN ELEMENTARY,California,0634320,063432005551,1,6,517,18,7,3,581,29,Elementary
SHERMAN OAKS CENTER FOR ENRICHED STUDIES,California,0622710,062271009151,3,373,746,77,813,6,2097,79,Other
SHERMAN OAKS ELEMENTARY,California,0607200,060720007427,0,4,470,7,34,0,528,13,Elementary
SHERMAN OAKS ELEMENTARY CHARTER,California,0622710,062271003351,–,43,138,31,404,–,657,41,Elementary
SHERMAN THOMAS CHARTER,CALIFORNIA,0602467,060246711160,–,5,157,1,39,–,209,7,Elementary
SHERMAN THOMAS CHARTER HIGH,CALIFORNIA,0601563,060156312209,2,1,56,1,20,–,80,–,High
SHERMAN THOMAS STEM ACADEMY,CALIFORNIA,0602225,060222514101,–,1,42,1,30,–,74,–,Middle
SHERWOOD,California,0642560,064256008208,5,3,10,1,35,–,93,39,Elementary
SHERWOOD ELEMENTARY,California,0638670,063867006499,4,42,181,16,183,3,471,42,Elementary
SHERWOOD ELEMENTARY,California,0633930,063393005329,5,1,935,–,8,1,952,2,Elementary
SHERWOOD MONTESSORI,CALIFORNIA,0601845,060184512750,2,4,22,5,66,–,122,23,Elementary
SHERY (KURT T.) HIGH (CONTINUATION),California,0639420,063942006572,0,9,73,6,25,2,124,9,High
SHILOH CHARTER,California,0636660,063666012799,–,1,93,–,44,–,154,16,Elementary
SHILOH ELEMENTARY,California,0636660,063666006214,0,0,16,0,12,0,28,0,Elementary
SHIRAKAWA (GEORGE SR.) ELEMENTARY,California,0614370,061437008352,1,247,328,11,46,1,664,30,Elementary
SHIRLEY AVENUE ELEMENTARY,California,0622710,062271003352,–,46,328,15,23,1,418,5,Elementary
SHIRLEY LANE ELEMENTARY,California,0613290,061329010809,–,5,561,19,32,–,640,23,Elementary
SHIRLEY ROMINGER INTERMEDIATE,California,0642930,064293006985,–,3,242,3,101,–,353,4,Elementary
SHIRPSER ELEMENTARY,California,0612090,061209001359,–,32,494,1,3,–,531,1,Elementary
SHIVELA MIDDLE,California,0600029,060002909686,5,95,660,82,425,8,1391,116,Middle
SHOAL CREEK ELEMENTARY,California,0631530,063153007679,2,165,70,9,188,3,495,58,Elementary
SHORE ACRES ELEMENTARY,California,0626370,062637003972,1,8,383,18,6,1,440,23,Elementary
SHORECLIFFS MIDDLE,California,0607440,060744000704,1,16,217,4,462,3,766,63,Middle
SHORELINE MIDDLE,California,0621990,062199007434,6,24,305,7,108,1,461,10,Middle
SHORELINE SPECIAL EDUCATION PRE-SCHOOL,CALIFORNIA,0636670,063667014088,†,†,†,†,†,†,†,†,Not Reported
SHORT AVENUE ELEMENTARY,California,0622710,062271003353,0,15,149,28,90,2,317,33,Elementary
SHOSHONE ELEMENTARY,California,0610680,061068010502,0,0,5,0,3,0,12,4,Elementary
SHOSHONE HIGH (CONTINUATION),California,0610680,061068007981,0,0,0,0,0,0,0,0,High
SIATECH,CALIFORNIA,0601781,060178111401,5,16,721,144,88,5,1051,72,High
SIATECH ACADEMY SOUTH,CALIFORNIA,0601681,060168113829,–,5,181,33,5,–,232,8,High
SIERRA ACADEMY OF EXPEDITIONARY LEARNING,CALIFORNIA,0602021,060202112922,4,–,27,1,134,–,193,27,High
SIERRA AVENUE ELEMENTARY,California,0639180,063918006546,17,93,53,12,194,2,407,36,Elementary
SIERRA CHARTER,CALIFORNIA,0601609,060160911846,8,14,278,17,76,2,403,8,Other
SIERRA COUNTY SPECIAL EDUCATION,California,0691120,069112008098,0,0,0,0,0,0,0,0,Other
SIERRA DEL ORO,California,0629100,062910013250,†,†,†,†,†,†,†,†,Not Reported
SIERRA ELEMENTARY,California,0630780,063078004787,6,1,92,2,273,–,396,22,Elementary
SIERRA ELEMENTARY,California,0620880,062088002513,1,8,325,156,75,–,601,36,Elementary
SIERRA ELEMENTARY,California,0600013,060001308764,–,36,66,3,281,1,436,49,Elementary
SIERRA EXPEDITIONARY LEARNING,CALIFORNIA,0601499,060149912628,–,–,58,1,147,–,214,8,Elementary
SIERRA FOOTHILL CHARTER,CALIFORNIA,0602246,060224613041,2,4,31,–,101,–,153,15,Elementary
SIERRA HIGH,California,0636805,063680500401,33,5,54,–,214,–,314,8,High
SIERRA HIGH,California,0634170,063417007345,4,1,298,43,14,1,366,5,High
SIERRA HIGH,California,0623610,062361004002,2,282,723,61,319,15,1462,60,High
SIERRA HIGH,California,0603600,060360000283,1,1,171,4,4,0,183,2,High
SIERRA HIGH,California,0613800,061380007710,0,0,57,0,2,0,59,0,High
SIERRA HIGH (CONTINUATION),California,0638770,063877006517,‡,‡,‡,‡,‡,‡,0,‡,High
SIERRA HIGH (CONTINUATION),California,0623530,062353010259,0,0,5,0,1,0,6,0,High
SIERRA HILLS ELEMENTARY,California,0630720,063072004909,4,1,16,–,282,–,313,10,Elementary
SIERRA HOME,California,0623940,062394006039,4,–,16,–,75,–,106,11,Other
SIERRA HOUSE ELEMENTARY,California,0620640,062064008873,–,27,147,–,168,1,362,19,Elementary
SIERRA JUNIOR HIGH,California,0636805,063680512899,27,–,23,5,88,–,147,4,Middle
SIERRA LAKES ELEMENTARY,California,0613920,061392010611,3,108,398,97,73,2,704,23,Elementary
SIERRA LINDA ELEMENTARY,California,0629220,062922004515,–,7,517,7,28,1,570,10,Elementary
SIERRA MADRE ELEMENTARY,California,0629940,062994004687,1,64,177,21,311,1,627,52,Elementary
SIERRA MADRE HIGH (CONTINUATION),California,0600009,060000901478,0,0,0,0,0,0,0,0,High
SIERRA MADRE MIDDLE,California,0629940,062994013343,–,113,148,48,237,–,588,42,Middle
SIERRA MIDDLE,California,0621690,062169002581,1,85,317,71,117,9,621,21,Middle
SIERRA MIDDLE,California,0633150,063315005158,4,14,724,38,60,4,870,26,Middle
SIERRA MIDDLE,California,0603630,060363000318,2,1,765,30,31,–,836,7,Middle
SIERRA OAKS K-8,California,0634620,063462005819,3,61,129,70,307,1,632,61,Elementary
SIERRA PACIFIC HIGH,California,0616500,061650012317,6,49,589,22,272,2,991,51,High
SIERRA PARK ELEMENTARY,California,0622710,062271003354,1,6,310,4,8,–,332,3,Elementary
SIERRA PASS (CONTINUATION),California,0636780,063678007445,0,0,0,0,3,0,4,1,High
SIERRA PREPARATORY ACADEMY,California,0635310,063531006007,1,6,590,1,3,–,601,–,Middle
SIERRA PRIMARY,California,0600011,060001109068,–,–,6,5,33,–,48,4,Elementary
SIERRA RIDGE MIDDLE,California,0631290,063129009423,9,3,48,3,204,–,277,10,Middle
SIERRA VIEW ELEMENTARY,California,0601332,060133205107,3,18,171,20,70,2,298,14,Elementary
SIERRA VIEW ELEMENTARY,California,0600062,060006211500,3,11,276,6,306,–,625,23,Elementary
SIERRA VIEW ELEMENTARY,California,0608370,060837000830,3,21,68,5,339,2,488,50,Elementary
SIERRA VIEW ELEMENTARY,California,0600068,060006811682,5,9,159,1,197,–,380,9,Elementary
SIERRA VISTA,California,0691025,069102511859,0,0,3,0,9,0,13,1,Other
SIERRA VISTA CHARTER HIGH,California,0639930,063993004203,‡,‡,‡,‡,‡,‡,0,‡,High
SIERRA VISTA EDUCATION CENTER,California,0636800,063680013291,†,†,†,†,†,†,†,†,Not Reported
SIERRA VISTA ELEMENTARY,California,0630660,063066004770,1,105,181,5,142,2,482,46,Elementary
SIERRA VISTA ELEMENTARY,California,0609030,060903000916,5,60,315,23,121,1,540,15,Elementary
SIERRA VISTA ELEMENTARY,California,0603270,060327000246,2,2,735,2,21,–,762,–,Elementary
SIERRA VISTA ELEMENTARY,California,0623340,062334003553,7,2,638,6,6,–,665,6,Elementary
SIERRA VISTA ELEMENTARY,California,0609850,060985001065,2,3,226,8,132,–,388,17,Elementary
SIERRA VISTA ELEMENTARY,California,0691135,069113511232,6,20,708,96,41,4,897,22,Elementary
SIERRA VISTA ELEMENTARY,California,0600016,060001609093,–,25,249,39,103,1,438,21,Elementary
SIERRA VISTA ELEMENTARY,California,0622710,062271003355,–,3,172,2,4,–,182,1,Elementary
SIERRA VISTA ELEMENTARY,California,0620190,062019002416,–,21,449,2,46,1,530,11,Elementary
SIERRA VISTA HIGH,California,0603690,060369000338,4,216,1698,12,7,2,1940,1,High
SIERRA VISTA HIGH (ALTERNATIVE),California,0642480,064248000496,1,9,195,2,28,–,236,1,High
SIERRA VISTA HIGH (CONTINUATION),California,0600065,060006501243,0,1,41,1,0,0,43,0,High
SIERRA VISTA JUNIOR HIGH,California,0642510,064251006962,3,47,715,43,280,2,1117,27,Middle
SIERRA VISTA JUNIOR HIGH,California,0603690,060369000339,2,59,548,4,4,–,617,–,Middle
SIERRA VISTA K-8,CALIFORNIA,0640590,064059014012,2,25,195,35,245,2,580,76,Elementary
SIERRA VISTA MIDDLE,California,0684500,068450007375,2,394,64,13,149,1,697,74,Middle
SIERRA VISTA MIDDLE,California,0610050,061005001104,4,74,639,22,66,1,816,10,Middle
SIERRA VISTA MIDDLE,California,0616325,061632502062,–,11,212,2,–,–,225,–,Middle
SIERRA-ENTERPRISE ELEMENTARY,California,0612330,061233001413,10,160,183,55,67,7,519,37,Elementary
SIERRA@HOME,California,0636805,063680503059,33,5,54,1,172,–,287,22,Other
SIERRAMONT MIDDLE,California,0604800,060480000466,–,576,185,10,37,6,854,40,Middle
SIGNAL HILL ELEMENTARY,California,0622500,062250002757,2,171,366,111,10,6,708,42,Elementary
SILAS BARTSCH,California,0619700,061970012257,1,13,597,1,27,3,643,1,Elementary
SILICON VALLEY CAREER TECHNICAL EDUCATION,California,0600135,060013511457,0,0,0,0,0,0,0,0,High
SILVA VALLEY ELEMENTARY,California,0606270,060627000291,–,31,49,3,316,–,434,35,Elementary
SILVER CREEK HIGH,California,0611820,061182001309,10,1417,817,41,118,19,2497,75,High
SILVER FORK ELEMENTARY,California,0636810,063681006244,1,0,1,0,16,0,18,0,Elementary
SILVER GATE ELEMENTARY,California,0634320,063432005552,2,13,94,1,287,2,458,59,Elementary
SILVER OAK ELEMENTARY,California,0613140,061314004054,–,391,39,7,114,–,592,41,Elementary
SILVER OAK HIGH PUBLIC MONTESSORI CHARTER,CALIFORNIA,0602238,060223813531,–,14,150,9,25,1,221,22,High
SILVER SPRINGS HIGH (CONTINUATION),California,0626880,062688009953,1,1,26,1,155,0,201,17,High
SILVER SPUR ELEMENTARY,California,0629700,062970004622,1,108,52,6,271,–,492,54,Elementary
SILVER STRAND ELEMENTARY,California,0609870,060987001074,2,10,71,5,149,2,284,45,Elementary
SILVER VALLEY ACADEMY,California,0636820,063682010616,2,9,98,10,112,6,251,14,Other
SILVER VALLEY COMMUNITY DAY,California,0636820,063682012326,0,0,0,0,0,0,0,0,High
SILVER VALLEY HIGH,California,0636820,063682007257,5,8,131,34,122,13,341,28,High
SILVER WING ELEMENTARY,California,0608610,060861000877,–,15,338,14,8,2,381,4,Elementary
SILVERADO HIGH,California,0636972,063697206461,13,41,1466,428,145,14,2209,102,High
SILVERADO HIGH,California,0633860,063386005315,2,6,178,3,54,1,252,8,High
SILVERADO MIDDLE,California,0611490,061149008253,4,68,188,12,497,4,850,77,Middle
SILVERADO MIDDLE,California,0626640,062664004032,1,8,495,2,206,–,732,20,Middle
SILVERWOOD ELEMENTARY,California,0626370,062637003973,–,109,172,14,158,2,529,74,Elementary
SIMI VALLEY HIGH,California,0636840,063684006268,4,232,669,30,1046,4,2052,67,High
SIMON RODIA CONTINUATION,California,0622710,062271003313,–,–,131,6,3,–,140,–,High
SIMONDS ELEMENTARY,California,0634590,063459005738,–,219,88,11,182,1,573,72,Elementary
SIMONS MIDDLE,California,0631320,063132004861,1,11,674,9,11,1,714,7,Middle
SINALOA MIDDLE,California,0636840,063684006269,–,52,319,8,394,1,807,33,Middle
SINALOA MIDDLE,California,0627720,062772004198,6,50,268,10,393,2,801,72,Middle
SINCLEAR ELEMENTARY,California,0608130,060813011492,2,47,524,9,44,1,630,3,Elementary
SING LUM ELEMENTARY,California,0606390,060639009336,3,31,479,40,182,2,758,21,Elementary
SINSHEIMER ELEMENTARY,California,0634800,063480005881,–,20,84,5,237,–,361,15,Elementary
SIR FRANCIS DRAKE HIGH,California,0638790,063879006525,1,43,186,9,1012,5,1348,92,High
SISK ELEMENTARY,California,0633900,063390009432,–,12,190,5,54,2,293,30,Elementary
SISKIYOU COUNTY ROP,California,0600127,060012711472,0,0,0,0,0,0,0,0,High
SISKIYOU COUNTY SPECIAL EDUCATION,California,0691038,069103807221,5,2,14,4,43,–,83,15,Other
SISSON,California,0626040,062604003899,–,4,37,10,239,2,304,12,Middle
SITTING BULL ACADEMY,California,0600017,060001711747,5,50,776,85,621,11,1599,51,Elementary
SIX RIVERS CHARTER HIGH,California,0603030,060303010800,3,1,14,–,78,–,111,15,High
SIXTH AVENUE ELEMENTARY,California,0622710,062271003356,–,3,320,72,9,1,410,5,Elementary
SIXTH STREET PREP,California,0641040,064104007280,1,11,187,18,29,1,248,1,Elementary
SIXTY-FIRST STREET ELEMENTARY,California,0622710,062271003358,2,3,520,77,15,–,627,10,Elementary
SIXTY-SIXTH STREET ELEMENTARY,California,0622710,062271003359,–,4,705,52,8,–,773,4,Elementary
SKY COUNTRY ELEMENTARY,California,0619260,061926008149,1,1,331,7,67,1,419,11,Elementary
SKY MOUNTAIN CHARTER,CALIFORNIA,0601743,060174311860,2,145,692,87,878,–,2185,381,Other
SKY VIEW ELEMENTARY,California,0630180,063018011718,2,8,571,63,12,3,676,17,Elementary
SKYBLUE MESA ELEMENTARY,California,0635970,063597006160,1,51,209,11,125,–,416,19,Elementary
SKYCREST ELEMENTARY,California,0634620,063462005820,2,10,152,23,190,–,402,25,Elementary
SKYLARK PRESCHOOL,CALIFORNIA,0614880,061488014387,†,†,†,†,†,†,†,†,Not Reported
SKYLINE ELEMENTARY,California,0636990,063699006283,1,11,95,–,311,–,462,44,Elementary
SKYLINE ELEMENTARY,California,0637530,063753006351,1,267,60,4,19,5,396,40,Elementary
SKYLINE HIGH,California,0628050,062805004315,6,239,624,460,185,29,1660,117,High
SKYLINE NORTH ELEMENTARY,California,0604020,060402000365,3,3,202,51,85,5,368,19,Elementary
SKYRIDGE ELEMENTARY,California,0603480,060348009709,4,7,71,1,179,–,331,69,Elementary
SLATER ELEMENTARY,California,0614550,061455001767,1,53,408,99,43,11,637,22,Elementary
SLAUSON INTERMEDIATE,California,0603600,060360000284,‡,‡,‡,‡,‡,‡,0,‡,Middle
SLEEPY HOLLOW ELEMENTARY,California,0628860,062886004473,–,50,20,–,233,–,332,29,Elementary
SLOAT (COMMODORE) ELEMENTARY,California,0634410,063441005598,–,172,30,12,108,–,381,59,Elementary
SLOVER MOUNTAIN HIGH (CONTINUATION),California,0609390,060939000956,0,2,232,17,17,2,270,0,High
SLVUSD CHARTER,California,0634740,063474002797,1,1,27,2,229,–,303,43,Other
SMILEY ELEMENTARY,California,0632070,063207004947,2,71,265,37,158,–,573,40,Elementary
SMITH RIVER ELEMENTARY,California,0610770,061077001199,42,–,119,3,76,–,245,5,Elementary
SMYTHE ACADEMY OF ARTS AND SCIENCES,California,0601332,060133204148,5,81,769,94,68,38,1127,72,Elementary
SMYTHE ELEMENTARY,California,0635220,063522005965,–,1,649,2,7,–,664,5,Elementary
SNELLING-MERCED FALLS ELEMENTARY,California,0636960,063696006281,1,–,31,–,39,–,75,4,Elementary
SNOW ELEMENTARY,California,0626640,062664004033,–,10,328,2,40,–,388,8,Elementary
SNOWLINE ACADEMY,California,0636970,063697001140,‡,‡,‡,‡,‡,‡,0,‡,Other
SOAR CHARTER ACADEMY,CALIFORNIA,0601481,060148112377,4,6,301,67,53,4,454,19,Elementary
SOAR HIGH (STUDENTS ON ACADEMIC RISE),California,0602820,060282011610,2,35,281,59,64,–,475,34,High
SOC JUST LEADERSHIP ACAD AT ESTEBAN E. TORRES HIGH #5,California,0622710,062271012720,–,–,247,2,3,–,252,–,High
SOL AUREUS COLLEGE PREPARATORY,CALIFORNIA,0601480,060148011198,–,46,125,151,39,3,392,28,Elementary
SOLANA HIGHLANDS ELEMENTARY,California,0636990,063699009196,1,92,22,2,137,–,285,31,Elementary
SOLANA PACIFIC ELEMENTARY,California,0636990,063699011397,–,190,45,1,236,–,532,60,Middle
SOLANA RANCH ELEMENTARY,CALIFORNIA,0636990,063699013801,–,283,51,4,166,1,566,61,Elementary
SOLANA SANTA FE ELEMENTARY,California,0636990,063699002691,1,33,42,3,153,–,270,38,Elementary
SOLANA VISTA ELEMENTARY,California,0636990,063699006284,–,3,77,3,164,–,276,29,Elementary
SOLANO AVENUE ELEMENTARY,California,0622710,062271003360,2,63,123,6,19,–,228,15,Elementary
SOLANO CO JUVE DETENTION FACILITY - EVERGREEN ACAD,California,0691122,069112209271,0,0,5,7,1,0,15,2,High
SOLANO COUNTY COMMUNITY,California,0691122,069112210678,2,0,21,13,6,1,49,6,High
SOLANO COUNTY SPECIAL EDUCATION,California,0691122,069112206289,–,46,103,30,84,5,294,26,Other
SOLANO WIDENMANN LEADERSHIP ACADEMY,California,0640740,064074006723,2,124,295,188,33,23,677,12,Elementary
SOLDIER MOUNTAIN HIGH (CONTINUATION),California,0613470,061347007814,1,–,2,–,9,–,14,2,High
SOLEADO ELEMENTARY,California,0629700,062970004623,–,206,53,10,91,1,419,58,Elementary
