,District Name,nces_id,Dissimilarity,State,Size
244,Kansas City,2007950,0.22926651182169758,KANSAS,6252
253,Ascension Parish,2200090,0.2284376517499263,Louisiana,7225
369,Randolph County School System,3703780,0.22829565411509056,North Carolina,5141
276,St. Mary's County Public Schools,2400600,0.22783244848242515,Maryland,5392
141,Aurora Joint District No. 28 of the counties of Adams and A,802340,0.2271569008554292,Colorado,10453
196,Clayton County,1301230,0.2266699827755811,Georgia,16654
44,Antelope Valley Union High,602820,0.22635293341497292,California,22303
16,Glendale Union High School District (4285),403450,0.22590050135302914,Arizona,16695
62,Escondido Union High,612910,0.22587497969310122,California,7158
426,TEXANS CAN ACADEMIES,4800016,0.2254600924967367,Texas,5037
14,Dysart Unified District (4243),402690,0.22281335327514934,Arizona,8275
463,IRVING ISD,4824420,0.22220522129790388,Texas,9811
187,SARASOTA,1201680,0.2217262553121223,Florida,13360
491,ROUND ROCK ISD,4838080,0.22150039730382948,Texas,15131
309,LINCOLN PUBLIC SCHOOLS,3172840,0.22095910305247368,Nebraska,12840
423,Williamson County,4704530,0.22068221762134807,Tennessee,14367
149,Poudre School District R-1,803990,0.22008783113755492,Colorado,8869
277,Washington County Public Schools,2400660,0.21986820407296664,Maryland,6925
171,HILLSBOROUGH,1200870,0.21884844888114613,Florida,63330
456,GARLAND ISD,4820340,0.21844676224830992,Texas,17271
231,Northfield Twp HSD 225,1729010,0.21646092217135382,Illinois,5132
517,HANOVER CO PBLC SCHS,5101830,0.2146684266926039,Virginia,5693
194,Savannah-Chatham County,1301020,0.21458553372592887,Georgia,9261
255,Caddo Parish,2200300,0.2137078274492251,Louisiana,10682
508,Salt Lake District,4900870,0.21358053760342482,Utah,7108
344,NYC SPECIAL SCHOOLS - DISTRICT 75,3600135,0.2128652558671836,New York,5693
375,Akron City,3904348,0.21254882648078932,Ohio,6556
289,Minneapolis Public School District,2721240,0.21248085843755163,Minnesota,9796
316,Freehold Regional High School District,3405610,0.21245996648014148,New Jersey,10413
310,MILLARD PUBLIC SCHOOLS,3173740,0.21110925210004994,NEBRASKA,7476
481,NORTHSIDE ISD,4833120,0.2108775092756709,Texas,32413
103,Poway Unified,631530,0.21063331964039914,California,11616
229,J S Morton HSD 201,1726880,0.21002321771068713,Illinois,6979
184,PINELLAS,1201560,0.2098575910719694,Florida,29347
425,HAYS CISD,4800010,0.2088853565653937,Texas,6766
215,BOISE INDEPENDENT DISTRICT,1600360,0.20858089394674761,Idaho,6107
480,NORTH EAST ISD,4832940,0.2085388335519311,Texas,20096
