District Name,nces_id,Dissimilarity,State,Size
Vallejo City Unified,640740,0.19226902680078012,California,3118
Ventura Unified,640980,0.2171668915986894,California,5176
Visalia Unified,641160,0.0823799174424464,CALIFORNIA,9332
Vista Unified,641190,0.32270621157904394,California,6343
Walnut Valley Unified,641280,0.11242156236818338,California,4764
Washington Unified,641580,0.0534985489189066,California,2433
West Covina Unified,642000,0.061184752060875994,California,3192
Western Placer Unified,642140,0.15557186391369882,California,2355
Whittier Union High,642480,0.22722823427048783,California,10767
William S. Hart Union High,642510,0.3123758454452446,California,15372
Woodland Joint Unified,643080,0.26408971409792964,California,3034
Yuba City Unified,643470,0.29749534046518755,California,3751
Yucaipa-Calimesa Joint Unified,643560,0.035064497776539305,California,3079
Irvine Unified,684500,0.17127801864603698,California,10628
Val Verde Unified,691135,0.22698547365116056,California,6591
State Charter School Institute,800020,0.1850083535224907,Colorado,3885
Academy School District No. 20 in the county of El Paso an,801920,0.15572196620583717,Colorado,8940
Aurora Joint District No. 28 of the counties of Adams and A,802340,0.10221102135727711,Colorado,10453
Boulder Valley School District No. Re2,802490,0.2423615133648687,Colorado,9694
School District 27J,802580,0.33098911070780396,Colorado,5662
Byers School District No. 32J,802700,0.3028517310323056,Colorado,2695
Cherry Creek School District No. 5 in the county of Arapah,802910,0.16437597079776298,Colorado,17843
Colorado Springs School District No. 11 in the county of E,803060,0.21940693714887263,Colorado,7265
School District No. 1 in the county of Denver and State of C,803360,0.28022562714491217,COLORADO,27183
Douglas County School District No. Re 1,803450,0.2762557098840537,Colorado,20175
Eagle County School District No. Re 50,803540,0.20078770120628636,COLORADO,2411
El Paso County Colorado School District 49,803870,0.4415047929101103,Colorado,9871
Poudre School District R-1,803990,0.27763203967648054,COLORADO,8744
Fountain School District No. 8 in the county of El Paso an,804080,0.016932047544292447,Colorado,2084
Mesa County Valley School District No. 51,804350,0.23559886332165347,Colorado,5885
GreeleySchool District No. 6 in the county of Weld and Sta,804410,0.13837726154389876,COLORADO,5776
Harrison School District No. 2 in the county of El Paso an,804530,0.2797270896756718,Colorado,3313
Jefferson County School District No. R-1,804800,0.29193490602939937,Colorado,24907
Littleton School District No. 6 in the county of Arapahoe,805310,0.030391982088415787,Colorado,4901
St. Vrain Valley School District No. Re1J,805370,0.31248760895910005,Colorado,9957
Thompson School District R-2J,805400,0.09719166184134338,Colorado,4451
Lewis-Palmer Consolidated School District No. 38 in the co,805820,0.07315576728742601,Colorado,2357
Pueblo School District No. 60 in the county of Pueblo and,806120,0.340539333489292,Colorado,3643
Pueblo County School District 70,806150,0.23068949977467323,Colorado,3198
School District No. 3 in the county of El Paso and State of,806480,0.06230315316946024,Colorado,2448
Adams 12 Five Star Schools,806900,0.15429084369647325,Colorado,10382
Westminster Public Schools,807230,0.09998086417390639,Colorado,2571
Weld County Reorganized School District No. Re-4,807350,0.24880713489409143,COLORADO,2339
Connecticut Technical Education and Career System,900002,0.2102110404571007,Connecticut,10974
Bridgeport School District,900450,0.3540042437830982,Connecticut,5100
Bristol School District,900510,0.18767922249632252,Connecticut,2346
Capitol Region Education Council,900700,0.3331389146452108,Connecticut,3128
Fairfield School District,901530,0.04695842868039665,Connecticut,2920
Hartford School District,901920,0.2827667243951419,Connecticut,5154
Meriden School District,902400,0.1766239125202022,Connecticut,2302
New Haven School District,902790,0.2378585031490503,Connecticut,5515
Norwalk School District,903090,0.1940002643055372,Connecticut,3844
Stamford School District,904320,0.0933175329628419,Connecticut,4882
Stratford School District,904440,0.010461934653146682,Connecticut,2128
Waterbury School District,904830,0.25313434552564984,Connecticut,4605
West Hartford School District,904920,0.05830684207952269,Connecticut,2862
Appoquinimink School District,1000080,0.09578586980530748,Delaware,3163
Christina School District,1000200,0.21227053140096613,Delaware,3048
Indian River School District,1000680,0.13448045439358502,Delaware,3027
Brandywine School District,1001240,0.1960366817750606,Delaware,3094
New Castle County Vocational-Technical School District,1001280,0.27363304229364044,Delaware,4684
Red Clay Consolidated School District,1001300,0.3979989288670334,Delaware,4695
District of Columbia Public Schools,1100030,0.44327512333350405,District of Columbia,10395
ALACHUA,1200030,0.31600753066925785,Florida,8733
BAY,1200090,0.13011035884516842,Florida,7544
BREVARD,1200150,0.3147627067760992,Florida,23966
BROWARD,1200180,0.2968179207530095,FLORIDA,84723
CHARLOTTE,1200240,0.2214472243281948,Florida,5366
CITRUS,1200270,0.40825232393749455,Florida,4898
CLAY,1200300,0.2932318647929674,FLORIDA,12816
COLLIER,1200330,0.3344691353419684,Florida,14461
COLUMBIA,1200360,0.273311048557354,Florida,2874
MIAMI-DADE,1200390,0.37139793366655144,FLORIDA,106745
DUVAL,1200480,0.4203462974089255,Florida,36005
ESCAMBIA,1200510,0.29976423075991804,Florida,10999
FLAGLER,1200540,0.11541984109985823,Florida,4378
HARDEE,1200750,0.13276507813508978,Florida,2599
HENDRY,1200780,0.10338266384778012,Florida,2377
HERNANDO,1200810,0.20086619634911773,Florida,7124
HIGHLANDS,1200840,0.3060684072017059,Florida,3420
HILLSBOROUGH,1200870,0.3194531825098413,Florida,63330
INDIAN RIVER,1200930,0.060291427138571815,Florida,5531
LAKE,1201050,0.22889887309055243,Florida,13490
LEE,1201080,0.26285509813545177,FLORIDA,29807
LEON,1201110,0.31139478337754195,Florida,9464
LEVY,1201140,0.27036124794745486,Florida,2446
MANATEE,1201230,0.2563429582057484,Florida,15601
MARION,1201260,0.34194695650947504,Florida,12934
MARTIN,1201290,0.05849396675741207,Florida,6000
MONROE,1201320,0.1258613445378151,Florida,2834
NASSAU,1201350,0.3343608585544069,Florida,3139
OKALOOSA,1201380,0.1080939781312761,Florida,8445
ORANGE,1201440,0.2748636388669356,Florida,64431
OSCEOLA,1201470,0.17418697932073368,Florida,23773
PALM BEACH,1201500,0.27815884923135986,Florida,60673
PASCO,1201530,0.2516958705584394,Florida,24513
PINELLAS,1201560,0.2658081085642687,Florida,29347
POLK,1201590,0.26728582723581373,Florida,33885
PUTNAM,1201620,0.3292083135015072,Florida,4232
SANTA ROSA,1201650,0.15015336070125546,Florida,9134
SARASOTA,1201680,0.13959101154635808,Florida,13360
SEMINOLE,1201710,0.2102165956797703,Florida,21130
ST. JOHNS,1201740,0.2629283363934769,Florida,15192
ST. LUCIE,1201770,0.1872082507093138,FLORIDA,15791
VOLUSIA,1201920,0.27398702538674324,Florida,19434
WALTON,1201980,0.23826230876026727,Florida,3158
Troup County,1300001,0.12483531859605126,Georgia,3557
Atlanta Public Schools,1300120,0.5821090096725517,Georgia,13759
Barrow County,1300290,0.06985828488372092,Georgia,3756
Bartow County,1300330,0.3326597331696944,Georgia,4069
Bibb County,1300420,0.4430799100126352,Georgia,5336
Bryan County,1300570,0.13542637264036994,Georgia,3050
Bulloch County,1300630,0.14223669923995658,Georgia,3416
Carroll County,1300840,0.2736404847159261,Georgia,4387
Catoosa County,1300930,0.04414285569384008,Georgia,3401
Savannah-Chatham County,1301020,0.3639086069210293,Georgia,9261
Cherokee County,1301110,0.25307635956572916,Georgia,13769
Clarke County,1301170,0.20124654027844258,Georgia,3372
Clayton County,1301230,0.35302547150467023,Georgia,16654
Cobb County,1301290,0.37024501049562913,Georgia,36361
Columbia County,1301410,0.29178295856782704,Georgia,8927
Coweta County,1301500,0.18723322196365966,Georgia,7331
DeKalb County,1301740,0.48698160158565784,Georgia,27297
Dougherty County,1301830,0.45958751393534003,Georgia,3600
Douglas County,1301860,0.2181440443213296,Georgia,8766
Effingham County,1301980,0.24633413461538464,Georgia,3879
Fayette County,1302130,0.20572233839439955,Georgia,6895
Floyd County,1302190,0.21166070719110053,Georgia,3380
Forsyth County,1302220,0.4677079365079366,GEORGIA,16833
